date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:32:13	46962/46962	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2013:52:16%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/index.html	(from )
22:32:13	461/461	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2019:37:32%20GMT	https://demo.htmlcodex.com/robots.txt		(from )
22:32:14	746/746	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2019:37:32%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/img/favicon.ico	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/img/favicon.ico	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:14	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/camaratheme/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:14	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/camaratheme/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:15	16964/16964	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202018%2023:14:10%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/lib/animate/animate.min.css	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/lib/animate/animate.min.css	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:15	2936/2936	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202017%2009:43:12%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/lib/owlcarousel/assets/owl.carousel.min.css	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:15	2608/2608	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Nov%202017%2020:18:24%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/lib/lightbox/css/lightbox.min.css	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/lib/lightbox/css/lightbox.min.css	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:15	164112/164112	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Jul%202022%2016:37:28%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/css/bootstrap.min.css	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/css/bootstrap.min.css	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:16	10797/10797	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Aug%202022%2018:35:06%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/css/style.css	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/css/style.css	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:16	22913/22913	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2013:53:12%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/about.html	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/about.html	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:17	15634/15634	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2013:54:38%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/service.html	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/service.html	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:17	20983/20983	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2013:54:06%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/project.html	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/project.html	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:17	16408/16408	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2013:53:48%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/feature.html	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/feature.html	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:17	15299/15299	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2013:54:22%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/quote.html	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/quote.html	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:18	21365/21365	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2013:54:58%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/team.html	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/team.html	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:18	14357/14357	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2013:55:12%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/testimonial.html	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/testimonial.html	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
